datetime,date,food_name,calories,protein
2025-02-13 16:30:42,2025-02-13,lunch,300,10
2025-02-13 23:30:42,2025-02-13,dinner,580,15
2025-02-14 09:30:42,2025-02-14,breakfast,560,25
2025-02-14 14:30:42,2025-02-14,lunch,750,45
2025-02-14 20:30:42,2025-02-14,dinner,1500,60
2025-02-15 10:30:42,2025-02-15,breakfast,400,30
2025-02-15 15:30:42,2025-02-15,lunch,2000,100
2025-02-15 23:30:42,2025-02-15,dinner,900,30
2025-02-16 12:30:42,2025-02-16,lunch,530,30
2025-02-16 17:30:04,2025-02-16,lunch,800,35
2025-02-16 22:30:04,2025-02-16,dinner,600,60
2025-02-17 09:30:42,2025-02-17,breakfast,700,27
2025-02-17 16:30:42,2025-02-17,lunch,640,35
2025-02-17 20:30:04,2025-02-17,dinner,700,35
2025-02-18 09:30:42,2025-02-18,breakfast,600,30
2025-02-18 14:30:42,2025-02-18,lunch,650,30
2025-02-18 20:30:42,2025-02-18,dinner,820,52
2025-02-19 10:30:42,2025-02-19,breakfast,600,25
2025-02-19 14:30:42,2025-02-19,lunch,650,40
2025-02-19 19:30:42,2025-02-19,dinner,800,25
2025-02-19 23:30:42,2025-02-19,dinner,1000,40
2025-02-20 09:30:42,2025-02-20,breakfast,650,40
2025-02-20 12:30:42,2025-02-20,lunch,180,10
2025-02-20 16:30:42,2025-02-20,lunch,550,24
2025-02-20 19:30:42,2025-02-20,dinner,640,40
2025-02-21 08:30:42,2025-02-21,breakfast,750,55
2025-02-21 16:30:42,2025-02-21,lunch,1150,40
2025-02-21 23:30:42,2025-02-21,dinner,1150,50
2025-02-22 08:30:42,2025-02-22,breakfast,330,15
2025-02-22 11:30:42,2025-02-22,breakfast,900,30
2025-02-22 17:30:42,2025-02-22,lunch,600,20
2025-02-22 22:30:42,2025-02-22,dinner,650,15
2025-02-22 23:30:42,2025-02-22,dinner,600,5
2025-02-23 11:30:42,2025-02-23,breakfast,700,25
2025-02-23 15:30:42,2025-02-23,lunch,900,60
2025-02-23 23:30:42,2025-02-23,dinner,900,60
2025-02-24 09:30:42,2025-02-24,breakfast,630,30
2025-02-24 15:30:42,2025-02-24,lunch,480,20
2025-02-24 20:30:42,2025-02-24,dinner,900,66
2025-02-25 10:00:42,2025-02-25,breakfast,585,30
2025-02-25 15:30:42,2025-02-25,lunch,620,40
2025-02-25 21:30:42,2025-02-25,dinner,1100,35
2025-02-26 10:00:42,2025-02-26,breakfast,560,35
2025-02-26 15:00:42,2025-02-26,lunch,900,35
2025-02-26 20:00:42,2025-02-26,dinner,900,35
2025-02-27 08:30:42,2025-02-27,breakfast,490,27
2025-02-27 13:30:42,2025-02-27,lunch,700,30
2025-02-27 19:30:04,2025-02-27,dinner,600,40
2025-02-28 09:30:04,2025-02-28,breakfast,620,45
2025-02-28 14:30:04,2025-02-28,lunch,600,30
2025-02-28 20:30:04,2025-02-28,dinner,750,30
2025-03-01 08:30:04,2025-03-01,breakfast,560,24
2025-03-01 14:30:04,2025-03-01,lunch,930,21
2025-03-01 20:30:04,2025-03-01,dinner,1500,70
2025-03-02 10:30:04,2025-03-02,breakfast,750,25
2025-03-02 15:30:04,2025-03-02,lunch,750,45
2025-03-02 20:30:04,2025-03-02,dinner,1500,40
2025-03-03 09:30:42,2025-03-03,breakfast,650,25
2025-03-03 17:30:42,2025-03-03,lunch,800,45
2025-03-03 20:30:42,2025-03-03,dinner,230,40
2025-03-04 09:30:42,2025-03-04,breakfast,700,25
2025-03-04 14:30:42,2025-03-04,lunch,750,25
2025-03-04 20:30:42,2025-03-04,dinner,730,50
2025-03-05 20:30:42,2025-03-05,dinner,620,25
2025-03-05 20:30:42,2025-03-05,dinner,750,45
2025-03-05 20:30:42,2025-03-05,dinner,600,45
2025-03-06 09:30:42,2025-03-06,breakfast,500,30
2025-03-06 14:30:42,2025-03-06,lunch,550,30
2025-03-06 23:30:42,2025-03-06,dinner,1050,45
2025-03-07 09:30:42,2025-03-07,breakfast,600,30
2025-03-07 15:30:42,2025-03-07,lunch,1000,40
2025-03-07 23:30:42,2025-03-07,dinner,700,20
